模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
XGBoost,1.0,1.0,1.0,-0.1309,-0.1027,-0.6693,-0.2326,0.4466
XGBoost,1.0,2.0,2.0,-0.2657,-0.2054,-0.6693,-0.423,0.4466
XGBoost,1.0,3.0,3.0,-0.3967,-0.3081,-0.6693,-0.575,0.4466
XGBoost,1.0,1.5,1.5,-0.1983,-0.1541,-0.6693,-0.3329,0.4466
XGBoost,1.0,2.5,2.5,-0.3321,-0.2568,-0.6693,-0.5035,0.4466
Logistic,1.5,2.5,3.0,-0.3474,-0.2702,-0.6855,-0.3784,0.3754
Logistic,1.0,2.0,1.5,-0.1835,-0.1436,-0.689,-0.211,0.4304
Logistic,1.5,2.0,2.5,-0.2931,-0.2289,-0.6979,-0.3216,0.3754
Ridge,1.0,2.5,1.0,-0.1291,-0.1021,-0.699,-0.1618,0.3236
XGBoost,1.5,1.5,3.0,-0.3471,-0.2733,-0.7095,-0.4948,0.3754
XGBoost,1.5,1.0,2.0,-0.2319,-0.1822,-0.7095,-0.3585,0.3754
Logistic,1.5,1.5,2.0,-0.2383,-0.1877,-0.7165,-0.2634,0.3754
Logistic,1.0,2.5,2.0,-0.2525,-0.199,-0.7196,-0.2855,0.4304
XGBoost,1.0,2.5,3.0,-0.4142,-0.3331,-0.7272,-0.5793,0.4466
XGBoost,2.0,3.0,2.0,-0.2317,-0.1837,-0.734,-0.3663,0.2783
XGBoost,2.0,1.5,1.0,-0.115,-0.0919,-0.734,-0.2,0.2783
Logistic,1.0,3.0,2.5,-0.3195,-0.2544,-0.7379,-0.3564,0.4304
XGBoost,1.0,2.0,2.5,-0.3516,-0.2818,-0.7388,-0.5086,0.4466
Logistic,1.5,1.0,1.5,-0.1837,-0.1464,-0.7475,-0.2043,0.3754
Logistic,1.5,2.0,3.0,-0.3645,-0.2928,-0.7475,-0.3946,0.3754
XGBoost,1.5,1.0,2.5,-0.3007,-0.2403,-0.7501,-0.4299,0.3754
XGBoost,1.0,1.5,2.0,-0.2873,-0.2304,-0.7561,-0.429,0.4466
Logistic,1.5,1.5,2.5,-0.3117,-0.2515,-0.7722,-0.3395,0.3754
XGBoost,1.5,1.0,3.0,-0.3665,-0.2984,-0.777,-0.4948,0.3754
